text_preprocessed,Polarity
hp literasi asean iq baca belakang tingkat dulu biar jauh nomor baik iya tugas anak masa,Netral
masyaallah ikn,Positif
slnjutnya pasar pekerjaaan tengah stop naik gambar habis padahal rumah paling mimpi sangat jalan tahun anggar perintah jadi hantu lebih,Negatif
hewan kawasan tambah kalah populasi manusia ada dampak kalimantan ibu semua baru hutan kota,Negatif
beban terlalu datang banyak jakarta iya lebih,Netral
kompleks luarbiasa sodet tengah luas republik citra anti malah kali bagaimana jawa mangkrak pimpin baswedan anies timur mau terus tahun indonesia,Negatif
alam ganggu moga,Positif
mantap,Positif
joss baru negara ibukota bangun,Positif
ni naik pajak semua buat,Negatif
robbal maupun semata hadir tolong rimba kalang tanggung partai terima dekat jawab laku kecil utama khawatir usaha pimpin kaya hidup dunia orang mudah kalimantan tetap bukan iya an presiden istana rakyat kerja alamin beri allah ikn bangun,Positif
yahdik dumay bawa nama pikir allah,Netral
nyungsep sdmnya kapan sdm nya kalau negara maju,Netral
telat gaji rata amp kerja,Negatif
mantap,Positif
was nih,Negatif
skt ajah hati hayalan mungkin iya,Netral
nyaman utama tuju sangat kalau,Positif
betul,Netral
waduk kaya buat,Netral
mantap indonesia maju,Positif
yra aamiin,Netral
lambat muter jalur masuk tol bayar macet umum satu utama bikin bagus jalan,Positif
kereta walaupun raya bohong polusi sih hut apa tahu sama ganti banyak jalan kalau jadi iya mending,Negatif
tambah dapat sendiri baik nya rakyat kerja moga negara indonesia maju,Positif
penting datang tahun baru jadi iya,Netral
ayo sejarah doa sama baru bangsa,Positif
sensara rakyak segitu beasiswa mahasiswa kalimat ajar duduk cerdas kuras tambang habis asli harus bagai luar bayangin negeri hasil mikir ribu banyak uang kalimantan pikir sekarang amp jadi mending rakyat buat sehat maju depan penuh,Negatif
lah bagus segera jakarta jadi,Positif
dalam libat proses aman semua jalan tetap lancar kerja sehat moga ikn bangun,Positif
hindar koruptor rakyat bangun,Negatif
sempat area turut sejarah dapat hebat bangga negeri jawa warga keren baru tetap kalian buat semangat maju ikn,Positif
lkn mantap,Positif
jokowi presiden,Netral
per ruas jalur tambah timbul lebar macet umum masalah jalan buat moga indonesia bangun,Positif
bakal,Netral
ajah sejahtera terlalu penting mending bapak rakyat buat bangsa,Negatif
kerja semangat,Positif
guna warga moga,Positif
insya misi visi pondasi darat nusantarajuga semut jiran hadir tengah ubah asa udara laut dasar strategis entah adil ada bila alam satu bagai buah sini salah langsung paling kembang era perlu orang datang sama sangat terus jokowi besar ekonomi sana milik buat negara indonesia mulai ikn bangun,Positif
juta tunjang pns naik gaji asal mau pindah jadi ikn,Netral
bacot violet,Negatif
ambisius proyek,Positif
seluruh mulia sebut cita ikan lancar aamiin perintah iya kerja allah wujud,Positif
hahaha ngapain doa kalian,Netral
pdi uang ibu baru kalau bukan presiden kota buat rencana bangun,Negatif
ndang pindah,Netral
percaya segera indonesia maju,Positif
smkin peesatuan wajib boss rumah agama ibadah bikin tiap ikn,Positif
buka,Netral
habis padahal penting hambur uang rakyat lebih ikn,Negatif
adab baru bangsa indonesia bangun,Positif
putrajayaindonesia malaysia mantap moga nusantara,Positif
puan jokowi,Netral
bom apa jadi iya,Netral
nggapapa pendapata tingggi gunung tani pupuk apaapa smeua sadar wih awam kaga simple beda balik atas sejahtera monas puji hapus sekali tadi kuat lain bayar sejarah pajak mah puja dapat tanya maksa tahu siapa bikin tau miskin hutang keren semua baru kalau mahal makin jadi kalian iya kok duit jangan subsidi rakyat selamat negara indonesia ikn bangun,Negatif
sanes sing allah,Netral
merdeka karya tahun bangsa anak,Netral
moga,Negatif
teriak bayar pajak mana hutang kalau,Negatif
kendara transportasi sarana modern percuma macet umum pribadi baik baru kalau buat negara maju lebih depan ikn,Positif
repot masalah urus usah hutang,Netral
sejak blt yudhoyono bambang susilo malu apa silah fakta jalan demo lanjut,Netral
,Positif
cuci tengah uang,Negatif
mangkrak aamiin moga ikn,Negatif
thebeess is,Positif
trlibat aamiin sehat beri allah moga ikn bangun,Positif
percuma buang uang allah,Negatif
kapan bandara tol tuju jalan iya bangun,Netral
minat kesana masuk cara tau nya kerja ikn,Netral
ajah rusak alam,Negatif
mol toko warung kalah apa orang kurang semua mungkin kalau besar ekonomi jadi rakyat,Negatif
senggolkita hektar minimal mandek sawit adat tambang punya masyarakat lancar sana ikn bangun,Positif
singaporequot kata,Netral
anggap beban ubah atur si bayar sebentar perlu kontraktor anggar perintah moga ikn,Netral
bunuh alam usak jokowi,Negatif
yaman oknum recokin insya imigran kaum asal nya lancar jangan allah,Positif
mantap,Positif
,Positif
neg lndonesia amp jadi maju,Positif
aamiin,Netral
tuhh wajah patung pein pas tambah konoha invasi laku habis kalau makin besar an presiden indonesia ikn bangun,Netral
ikhlas suap takut mudah awal kerja sehat swt allah,Positif
zaman modern tuju amp lanjut,Positif
beban aset bawa sini cukup hutang aamiin biaya sana rakyat moga negara,Positif
bnr sga duga mangkrak nya ikn bangun,Negatif
cita apa kan kalimantan ibu selesai semua nya lancar aamiin presiden bapak rakyat kota kerja sehat sukses moga segala,Positif
jabat masalah korupsi ikut asal proyek iya duit jangan,Positif
asri tegas banggan semrawut rahasia suap tata liar atur sj benar korban jabat alam umum luar korupsi usaha cukup penting urus baik mudah banyak uang ibu kalau lancar besar jakarta jadi indah sana kota moga negara indonesia lebih rencana ikn bangun,Positif
sering larang benci masuk ribut paling penting keras masyarakat aamiin buat negara indonesia ikn,Positif
akses area bagaimana kerja ikn,Netral
utama paling penting sangat jalan,Positif
yra aamiin,Netral
rubah tangan choiri kapan dpr uu,Netral
pekerjakn toko buka mohon mau nya iya bapak ikn,Netral
laksana yra saksi upacara agustus pertama aamiin jadi moga wujud ikn,Positif
pinggir tongkraaangtongkrong muda pandai ajar generasi gagal suka keluarga guna dulu manfaat waktu jalan jadi jangan an bapak bangsa maju mulai,Netral
situ kan jalan,Netral
sesuai semua lancar moga rencana,Positif
pingin produktif satu coba guna amanah ri cari semua pikir demo jadi presiden kerja bangsa negara maju,Positif
ngkoh ingat basuki mampu bilang lahan bagaimana investor biar nyata memang lah uang quot jakarta dana kerja,Netral
marah alam moga,Negatif
lama dong jangan,Positif
kak kawasan official lingkung rawat betul tunggu khawatir waktu nya hutan tinggal sukses bangun,Negatif
pencil kelak desa rasa infrastruktur mudah kalimantan aamiin perintah,Positif
mangkrak kaya hambalang ganti presiden lanjut,Negatif
bilang mantap mau,Positif
mangkrak moga,Positif
hemat pas gaya dapat suka perang banyak anggar an rakyat rencana ikn,Netral
sejarah indonesia bangun,Netral
kampanye janji bangga jokowi bukan bapak ikn,Negatif
kabar kalimantan meikarta ikn,Negatif
neng punya sangat baru indonesia ikn,Positif
tetanggahutangmu pinjam kau rocky bayar rumah sendiri usaha hasil banyak hutang uang mau quot kok jangan bangun,Negatif
angin doang pake dong bapak kerja masa,Negatif
jamin pantas tuntas periode ikut selesai ngotot proyek presiden,Negatif
nasib bagaimana hutan depan,Negatif
gubernur partaipasti pdi mimpi ribu terus jokowi sekarang iya jangan bapak bangun,Netral
naik bener kalsel iya mulai,Netral
drainase saran sistem air listrik pertama harus jalan iya,Netral
serbu kotor program bilang puja kritik komentar sini bagus kata semua kalau jokowi jadi kalian siap,Netral
bengkak bunga apa mangkrak tinggi hutang uang biaya jangan,Positif
usul nama agama ibadah tempat bagus semua nusantara bangun,Positif
proges ikn,Positif
kabar apa cepat progres kok,Negatif
kakek bau besok tanah pindah cucu iya tinggal anak,Netral
level akibat gila per nah air bener guna tahun tanah jakarta,Netral
rakyataminn sejahtera buka lapang kerja alhamdulillah,Positif
,Netral
tri sayap mixue kompleks putar dekat barat ada daya bumn perintah,Netral
taun gila arti padahal bahkan bikin tiap uang proyek besar buat ibukota indonesia lebih,Netral
style sirkuit paddock kejar sekali satu salah kan dunia nya bukan iya kerja bangun,Netral
terimakasih pa seluruh adil sosial tuju progres terus lancar jokowi perintah jadi bapak rakyat kerja sehat allah moga indonesia maju ikn bangun,Positif
sawah kampung balik mana tuh rantau makan makanya bro ladang tua urus orang sama kota,Netral
pantai baru indah,Netral
kecil sana rakyat kerja moga,Netral
ngabisin pret duit negara,Negatif
hindar lahan pohon tebang apa buka pusat hutan,Negatif
kolonial waris sekitar niru prediksi seoul korsel minimal sejak target bukti mampu sesuai arti panjang realisasi negeri sendiri umur ganti banyak putus butuh mau waktu selesai semua tahun baru kalau perintah pindah jadi bakal bukan an siap kota sedang bangsa beri moga ibukota indonesia mulai ikn bangun,Positif
biasa luar cepat,Positif
lain gedung pura vihara gereja masjid,Negatif
paham jelas suka cara mudah amp bapak,Netral
pemimpincalon bukti dukung pimpin nyata amp kerja bangsa beri maju,Positif
tni utaraselatan timurbarat sebelumx tahan atas maaf serang minta kasih besar buat negara,Netral
nntidn sampah tuyuk dikalimantan trjadijgn kn laksana bila lama kecil tunggu biasa luar bangga hancur tau kalimantan kasih bagi jadi ikn,Negatif
ungkit akal njay nggk dah paham modern tadi masuk njir malah doang jaman emang tau orang kayak sekarang bakal,Netral
ngutangpemb yasemoga mega benar mana baik sangat butuh jalan lancar makin proyek ekonomi rakyat bangun,Positif
bakal,Negatif
titik sejahtera ada rata satu fokus pulau jawa makin moga ikn bangun,Positif
mangkrak moga,Positif
negaraquot sepet trotoar kualitas jalan harap,Positif
nnnaaahh plastik sembarang dagang benar wisata malah buang kumuh biasa jual pakai bikin usah tempat banyak kalau jadi kota selalu indonesia,Positif
cicit tanggung hutang cucu anak,Negatif
sprt mental insyaa sadar pimpin baik sama jokowi jadi diri presiden allah indonesia lebih,Positif
bungkus nasi mari,Netral
asli sangat keren,Positif
rubah tuju budaya sangat,Positif
aroma sekali luhut,Negatif
,Positif
betul,Netral
monas pohon dukung nyata banyak lihat lancar moga lebih ikn bangun,Positif
solid kawasan raya amp perintah pusat jadi moga semangat ikn,Positif
ruang enak semrawut tata atur rumah biar kaya orang moga bangun,Positif
bro jauh kurang pikir,Netral
jaga sesuai cepat biar progres penting paksa jalan jangan kerja moga rencana,Positif
kasihan yaaa sebentar tenggelam nya pindah,Negatif
project mubazir jadi moga,Positif
,Netral
yra aamiin,Positif
asing bagaimana orang mau lalu buat ibukota bangun,Netral
sesuai hambat moga rencana,Positif
jejak bangga ikut jokowi bapak moga indonesia maju depan,Positif
bara misi batu,Netral
males disiapin sarana makan punya dong kok duit kerja buat negara,Netral
sya masuk siapa banyak uang nya mungkin yakin proyek presiden lanjut,Positif
percaya tuju ahli baru proyek indonesia maju,Positif
aziz,Netral
channel detail satwa tinggalin ekosistem ngebangun rutin alami produksi beberapa sekali jelas justru lahan pohon tebang pakai emang tiap banyak cari tahun baru perintah bukan hutan sedang lengkap ikn bangun,Positif
mau ikn,Netral
sarang korupsi yakin jadi,Negatif
wkwkwk cepet ken soal hambat ikut aman selesai terus pindah kerja buat sehat moga ikn,Positif
kelak dukung sangat ku cucu anak ikn,Positif
yuk obral pekerjadan lowong janji lokal cerdas pilih capres lewat salah ribu serap kata jalan jokowi jangan bapak kerja lanjut harap ikn,Netral
habis bikin ganti uang henti kalau jokowi yakin proyek rakyat ikn,Negatif
you jokowi bapak,Positif
terlalu maksa,Negatif
detail walaupun jelas dampak kalimantan nya hutan,Negatif
wkwkw sepi san kos dki harga tanah siap,Negatif
tumbuh laun lambat beton hilang pohon ganti bakal sana,Negatif
kabur tukangmandor kepala si berita bagaimana lah nya,Positif
cina,Negatif
haji bengkak nafsu ambisi naik korban apa hutang terus biaya jadi rakyat negara ikn,Negatif
,Netral
gorong rancang kabel tata air proses utama usaha perlu baru jadi iya jangan buat bangun,Netral
nyaamiin visioner ikon merdeka nkri pimpin semua tahun lancar kok istana indonesia ikn,Positif
pakek ngeri jabat hasil ganti nya jadi presiden bapak bangun,Negatif
zona niscaya terima ubah hati sesuai arti senang tiap aman mau lihat lancar diri moga rencana,Positif
sebarkaan terima baswedan anies ri tahun kasih jadi iya presiden bapak lanjut,Netral
malah hambur hutang uang bukan buat negara,Negatif
samping hadap rangka budak waspada begitu sistim hal kontrol ras sepakat tentu tekan curiga nomer keluar anda darurat capai pada cadang rampung total tumbuh kolonial kampung level jamin anggap gera nah laksana apbn buru mega amerika sebut kelak kembali belaka cina jajah strategis laku persen ingat politik mampu dominasi kuasa bilang sesuai mana malah alam satu guna investasi lipat kali tingkat buah sini soal tanya negeri sendiri wilayah usaha jawa ter konsorsium asai pakai pantau jauh puluh kaya memang dunia baik turun peluang daerah sama banyak hutang kalimantan waktu tepat semua berapa terus tahun nya lihat urgensi mungkin jokowi biaya proyek perintah besar ekonomi bagi jadi jangan dana rakyat kota buat beri negara ibukota indonesia lebih depan bangun,Negatif
ikon sejak beda dasar mesjid satu agama ibadah tempat yakin jadi jangan negara ikn bangun,Positif
padat terlalu memang baik layak jalan amp jakarta indonesia lebih depan masa ikn,Positif
jawa kalimantan ikn,Netral
presiden moga lanjut,Positif
bumburo malas paham sih tol up apa suka umum bahkan bagaimana salah dulu kan emang hari tiap baik lah info cari jalan banding kok lebih,Netral
nt kubur si mati tempat kalau,Negatif
ayo nya babat hutan semangat,Negatif
kasus pekerjadibangun tiongkok wna barak sama jangan kerja indonesia,Negatif
ingonesia mari pingin orang pikir nih maju,Netral
buruk zaman mana apa biasa sendiri dulu hasil emang orang mau kalau perintah kalian iya jangan ikn,Netral
kemudian ideal datar video liat pematang hektar situ atas luas udara bidang berat proses sulit lama lahan apa satu utama dulu hambat memang sangat butuh waktu baru lancar buat moga lebih ikn bangun,Positif
komentar semua,Netral
dmn motor sin buruh jerit gampang unt bawa terlalu usaha kan orang kata demo tetep lebih,Netral
bacot violet,Negatif
laksana erti turut nkri doa cepat baik semua aamiin rakyat,Positif
korupsi biar tepat jangan dana,Positif
tambah hutang besar moga negara,Positif
resmi kau bro rumah ibadah semua indonesia bangun,Netral
jahat larang gereja bangun,Negatif
sentuh pdb sekitar sekarang moga,Negatif
otorita jangn optimal hadap kawasan lupa panas konstruksi sampe tempat nya tinggal jangan kerja,Positif
,Netral
sekali mau kerja ikn,Netral
hati terus kok kadrun,Negatif
gereja iya bapak,Netral
siasia kesitu sebut jabat ujung tanya mangkrak kalimantan mau selesai jokowi sekarang pindah jadi presiden bapak lanjut bangun,Netral
proses korban jiwa moga ikn bangun,Positif
revisi kemudian bicara apbn jelas desain bawah lama defisit kecil bro jauh turun akhir sangat lalu tahun lihat banding kalau anggar makin awal lebih,Netral
beliau oposisi tegas puan ketua marah partai ken bilang malah periode bahkan kali dukung sendiri kan ngotot kalau bagi presiden maju,Netral
,Negatif
orang kalimantan presiden moga,Netral
pdip prabowo nah kait ujung ri ganti lihat jokowi presiden,Negatif
mega ganti henti proyek presiden moga,Positif
yra jalan lancar aamiin sukses moga nusantara ikn bangun,Positif
otak korupsi semua jalan lancar moga,Positif
tolhidup pdliiknjbr tol malah betul satu pake banyak kuli jalan salam sehat,Netral
tahan mah masalah dulu penting urus jadi,Positif
palsu ijazah nganggur dasar malah apa tka mikir banyak jokowi rakyat ikn,Negatif
jabat khawatir jokowi presiden bapak lanjut bangun,Netral
ontokusumo musuh ornamen bom josss amerika batu pakai biar kalau,Netral
kalimantan cinta semua lancar selamat moga indonesia,Positif
gusur sibuk dh sempit sekali lebar padat guna dlu bikin orang jalan sekarang,Positif
sebgi eropa pulau biasa luar wilayah jawa uang putus tepat selesai terus tahun nya jokowi pindah jakarta jadi ibukota indonesia depan ikn,Positif
pret eh,Negatif
tukangkaplingsuargo,Netral
sejuk warna ubah negeri ganti segera selesai semua lancar makin pindah moga ibukota bangun,Positif
sepakbola stadion banggan wajib baik kalau iya bangsa ibukota lebih ikn bangun,Positif
mula bekas situ mas kembali industri asli pohon tebang tempat tahun nya kalau jadi hutan depan ikn,Positif
maksimal batas juta duduk atur justru malah khusus banyak kalau perintah pindah bakal sana tinggal buat ikn,Netral
dukung kalau iya maju,Netral
apbn,Netral
masyaallah,Positif
sebarkaan terima baswedan anies ri tahun kasih jadi iya presiden bapak lanjut,Negatif
ingonesia ni suka bagus semua lihat,Positif
binatang ular thnkalimantan laun lambat jelas politik satu tiap nya tanah jakarta,Netral
sejarah hancur indonesia,Negatif
wwoi sudut woyymasak woiikalo sejajar wahai gorong trotoar drainase wajib letak tata jelas modern jelek malu gedung jaman hasil perhati bagus sangat warga jalan iya kota indonesia rencana,Positif
mau kalau demo jadi susah,Netral
mati siapa ikut jadi presiden kota harap,Positif
tidakbakan pelihara bersih apa mata korupsi orang nya lihat pindah ibukota,Negatif
kapan istana negara mulai bangun,Netral
manis media liat,Negatif
sampe lancar,Positif
sih mirip proyek meikarta,Negatif
catat pilih uud apa jalan terus tetap proyek presiden ikn,Netral
wihara negaratower kalah islam mana makanya luar negeri gereja agama istana,Negatif
cepat selesai moga ibukota indonesia,Positif
lancar moga,Positif
deh iya moga,Positif
wisata bagus bukan moga bangun,Positif
sayang hutan,Negatif
lebi kasi iya,Netral
nyiyiran peduli lancar kadrun moga,Positif
kejang jakarta ibukota,Netral
pakde rata up biar semua terus awal mulai,Positif
aamiin,Netral
orngquot sehat maju,Positif
kan kalimantan pindah jakarta,Netral
beban miskin hidup banyak hutang nya susah rakyat moga negara,Positif
nol mardigu video bacot si lihat,Negatif
ekosistem jaga mudah kalimantan tetep hutan an,Positif
,Netral
simpang bebas akses duduk solusi tol padat gratis apa macet lol hambat mikir banyak jalan perintah bukan kota ikn,Netral
gan papapapa gaji emang berapa,Netral
toleran kelenteng gereja dong bangun,Negatif
digundulin dong hutan,Negatif
bakar ringan sekali gaji sama terus sekarang besar bagi iya bangun,Negatif
mantap indonesia,Positif
jaya nkri tuju jokowi masa,Positif
mantab presiden bapak,Positif
ken sana iya tinggal kok,Netral
kena,Negatif
jayaiah nusantara indonesia,Positif
insyaa proses ibu baru lancar aamiin kota bangsa beri allah indonesia bangun,Positif
lama,Negatif
obrol ngurusin males bodo gin kagak bobot tahu manfaat bang iya,Netral
siapquot,Netral
oper ini atas duduk dki cara biar kalimantan ibu tepat kota ikn bangun,Positif
moga,Positif
lupa pulau jawa daerah tinggal jangan bangun,Positif
woi ngapain uu gin mikir kaya terus,Netral
rp triliun dana ikn,Netral
mangkrak bakal,Negatif
siapa iya ikn,Netral
jaga wa lindung lingkung doa hidup semua aamiin kerja sehat selamat beri selalu allah,Positif
ver hambalang moga,Positif
new era indonesia,Positif
sedih,Negatif
woy lahan habis,Negatif
legacy prioritas bebas pinjam tengah merah lengser apbn pakdhe ingat pajak pokok utama investor pakai usah perlu china timur masyarakat cari semua terus kalau kasih jadi bakal buat nusantara ikn bangun,Negatif
pesimis tetap jangan optimis,Negatif
jenis hewan kasi tanam hijau gundul banyak nya jadi hutan depan,Negatif
tetapa pembanghnn dan jalan bapak buat sukses selamat selalu allah moga ikn,Positif
alhamdulillah,Positif
terimakasih kaltim semua lancar jokowi bapak moga bangun,Positif
pakbravo lancar moga ikn,Positif
sehat,Positif
korban nasib bagaimana urus dong nya kalau presiden bapak nih meikarta lanjut ikn,Negatif
biasa luar,Netral
huni hantu,Negatif
lebaran insya doa ikut mohon nya iya allah ikn bangun,Netral
terima kasih,Positif
nyaamin ngikuti wajib adab tuntas pimpin baru nya besar jadi bukan tinggal presiden kerja sehat bangsa moga lanjut depan ikn,Positif
slamatan trlibat semua lancar buat sehat beri moga ikn bangun,Positif
dengar resmi umum nkri kalimantan sabar pindah ibukota,Positif
rusun kes wkwkwk malah,Negatif
rantau ah mau kalau jadi,Netral
tunda prioritas didik provinsi negeri tiap baru mungkin bapak buat sehat bangsa anak,Netral
kampung,Netral
it rusun orang bapak kerja bangun,Netral
semangat indonesia,Positif
mudah moga,Positif
sulawesi dong jangan bangun,Positif
ambisi beberapa manusia hijau gundul waktu tahun hutan depan,Negatif
tunjuk mampu apa dukung dunia baik makin bangsa,Positif
datang tanah selamat,Positif
,Positif
masingmasing rangka dalam bahagia dapat alam biasa luar mudah semua jalan lancar amp sehat tugas selamat moga semangat ikn bangun,Positif
ngabis si uang,Negatif
resume nagara progres dunia semua milik kota ibukota ikn bangun,Netral
modern adab sih keren baru amp negara maju,Positif
syariah bank haji masuk dana,Netral
ibu pindah jadi kota,Netral
mangkrak,Negatif
rusak lingkung,Negatif
pas kira masuk pilih persen contoh bayangin kan baswedan anies ganti berapa jalan henti sekarang perintah presiden bapak segala rencana ikn bangun,Negatif
panas pohon apa kok bangun,Negatif
tgg anti biar bukan,Positif
enak selesai kalau proyek suatu,Negatif
cepet kereta pa beberapa rusak tol cepat tahun baru jadi jangan kota moga,Positif
kolom komentar,Netral
,Negatif
,Netral
usia roboh antisipasi akses struktur antar satu pulau jembatan perang usaha semua jangan,Positif
lancar,Positif
rupa ngutamain gusur trus area industri peduli paru bukti lumayan coba rumah sendiri dipake emang bumi sama kalimantan kalau hutan buat bangun,Netral
sebar numpuk populasi jawa negara ibukota bangun,Positif
negra olok pesimis bahasa sllu jajah fun dukung bangga sendiri baswedan anies sama yohanes kok bapak negara,Netral
juta aset kau official art toll lain baca mana apa harga bangga rumah siapa ribu hutang terus tanah iya kadrun bangun,Netral
properti beli orang sana bukan indonesia,Negatif
tuju indonesia maju,Positif
pantas memang ibu nya pindah jakarta kota segala negara,Positif
biar,Netral
keluar milu habis mati banyak tahun lancar jadi dana kota moga depan,Positif
paham cerdas solusi mampu sulit program pasti mati pimpin paksa hidup masyarakat widodo joko jalan terus yakin jadi bangsa indonesia maju depan masa bangun,Positif
ahli besar tugas,Netral
sarang mangkrak jadi buat moga,Negatif
laksana contoh angan pimpin takut banyak nya serta jokowi moga,Positif
kuil sesuai pura gereja agama masjid ibadah orang semua bukan,Positif
amp,Netral
keluar tapi cepat biar tau baik banyak uang selesai kalau makin kerja lebih,Positif
nukang pingin lamar biar punya cucu sana kerja anak,Negatif
loker info dong sana,Netral
ngatur sampean haaa ngelawan tangan sadar kaga balik tuhan mampu koar suara mana apa lawak lawan yah mimpi kaya lah orang tolak banyak mau baru perintah jadi kok wkwk rencana,Netral
tentu pondasi manusia utama paling kerja,Positif
seger saran jalur sih tol kiri kanan harus deh pakai jalan nya kasih kerja semangat,Netral
sampah tata kelola banjir baik sama baru kalau ibukota,Negatif
tertawa waduh nyinyir manusia nih,Negatif
juta satu,Netral
korupsi mangkrak takut ganti proyek presiden moga,Positif
tiongkok dukung kalimantan warga lancar pindah ikn,Positif
pekerjanyalayak wenang kontrol gaji apa masalah hidup punya masyarakat kontraktor perhati layak,Positif
ekosistem sana moga,Positif
sumatra tinggalanya mantan makmur kejar ramai ada rata suka umum pulau kali jawa tuju sabang usah sampe khusus timur kalimantan kalau pikir indonesia maju lebih harap ikn,Positif
baswedan anies ibu baru tetap jakarta presiden istana bapak kota,Negatif
nyaamin seluruh kan doa mudah lancar sehat beri segala semangat,Positif
potong gaji rasa ikn bangun,Netral
rupa capai makmur seluruh sejahtera langkah cerdas provinsi satu kembang hidup tempat masyarakat ibu jalan baru lancar pusat awal suatu kota sukses bangsa moga negara indonesia ikn bangun,Positif
proton dinas produk kendara listrik malaysia esemka mobil contoh lama jabat raja jadi moga indonesia,Negatif
elit sekitar lupa orang warga jangan,Positif
bodo,Negatif
bravo slse hebat pulau cepat putri putra kalimantan ku jokowi proyek presiden bapak buat selamat moga maju lebih ikn,Positif
didik,Netral
soekarno wacana dengar legacy zaman sejak memang lah jokowi pindah jadi bapak ibukota ikn,Positif
jujur korupsi iya jangan,Negatif
penjara sikat,Netral
gelar tulus hati yudhoyono bambang susilo jabat mangkrak banyak semua proyek bapak kerja sehat moga ikn,Positif
stop tingkat masyarakat bapak indonesia,Negatif
wewenang ingat jabat sampe kaya punya jangan meikarta buat bangun,Positif
tani amp proyek,Negatif
al tolol nain kubur cuci awam polos jelata tunduk si korban kantor otak fakta hasil bikin lihat jadi,Negatif
ancam konsep bukit topografi model hujan datar ruang pinggir per dalam tata hati sepenuh banjir air masuk rendah naturalisasi sungai kaltim tinggi tahun tanah kalau jadi kota buat ikn bangun,Positif
miskin kaya makin,Negatif
tanya,Netral
sht sllu lama semua terus nya mungkin indonesia maju,Positif
stop hati dki ikat contoh dpr meski baswedan anies presiden ikn,Negatif
korban sayang kalimantan jadi hutan,Negatif
haji cepet kira naik selesai kalau jadi dana,Netral
tengah seluruh sejahtera perata dukung jawa orang sangat indonesia ikn bangun,Positif
tol umum bikin jalan bangun,Negatif
rap gempa gunung banjir aman mantap moga ikn,Positif
bisa pohon tebang banyak nya mungkin,Positif
prabowo lengser mampu jokowi lanjut ikn bangun,Netral
walhi produksi teriak tanam betul mau hutan,Negatif
aamiin,Netral
dulu era jokowi bukan presiden,Netral
ruang suara kagak masjid pakai biar bikin keras dong,Netral
habis kalimantan hutan,Negatif
pesimis sadar aamiin rakyat moga negara maju optimis,Positif
kuta datar kabar banjir korban rendah balikpapan samarinda warga jadi iya,Negatif
alir wahabi budak yaman jaga boss masuk selatan komunis kadrun jangan,Negatif
dikalimantan rata moga ikn bangun,Positif
,Netral
senyum xijinping puan lancar moga,Positif
href unhas rektor sebut berita kait harga mati timur indonesia ikn,Positif
raut pln drainase kabel atas bawah masuk bagus tanah jangan,Positif
,Positif
isi rusak malah semua kalau iya buat,Negatif
noh gambar nama sendiri buat bangun,Netral
mantappp pulau kalimantan negara,Netral
mangkrak,Negatif
impi ibu kota indonesia,Positif
mantap jalan proyek,Positif
asyik akhir pindah ikn,Positif
rakyak sejahtera ambisius proyek,Negatif
investor iya kok jangan mulai ikn bangun,Negatif
etis pake uang sangat rakyat ikn bangun,Negatif
jalan lancar moga ikn bangun,Positif
mangkrak yakin bakal bangun,Negatif
satu salah mangkrak proyek,Negatif
paru dunia tempat nya ikn bangun,Negatif
jalan baru lancar aamiin moga ikn bangun,Positif
aamiin,Netral
pekerjax tambah tonton lokal kasihan sih ja macet balikpapan luar maksa nikmat siapa sangat warga proyek jadi iya,Negatif
sbgai pembangunanya masarakat bidang turut rata bagai dukung mudah ibu kota moga nusantara indonesia,Positif
lengkung jangan,Negatif
welcome jaya terus nusantara indonesia,Positif
ngeri darat laut solusi si tinggi sama lihat kalau sekarang jakarta jadi lebih ikn,Positif
mantap indonesia,Positif
kalimantan hutan,Netral
wkkwwk yah lah mending meikarta,Positif
resmi jokowi bapak moga,Positif
hnya masjid,Netral
bahan naik pokok semua,Negatif
wkwkw dua hambalang yakin jadi,Negatif
wrga niat asing emang tempat ibu pribumi kota buat,Netral
hijau kalimantan hutan,Negatif
cepet selesai semua,Positif
keren,Positif
mata hutan,Negatif
apbn pake investor dana,Netral
sekian cerdas program satu salah banyak nya bangun,Positif
hambalang lihat jilid jadi,Negatif
slain concern mas nama bagaimana bikin banyak baru iya kota indonesia harap,Negatif
beban apbn bukan subsidi wkwk,Negatif
pembanfunan elit utuh politik nanti hambat penting dayak warga terus awal moga indonesia maju ikn bangun,Positif
ngabisin ujung doang mangkrak paling nya proyek duit rakyat,Negatif
gila proyek nih,Negatif
udelw sak uripw rakyate urusane iki opo jabat jaman korupsi rezim mikir,Netral
sebentar kalimantan maju bangun,Positif
mubazir boros proyek,Negatif
sekali cepat bagus sangat semua tetap lancar sukses moga,Positif
ruang lindung bawah orangquot tanah,Positif
kira gampang mangkrak ibu lihat proyek pindah bakal kota meikarta,Negatif
rapi rumah biar bangun,Positif
wkwkwkwkwk,Netral
tikai politik kuasa selesai jadi jangan lanjut,Positif
yassalam job good jaya jokowidodo mata harga mati nkri dunia terus presiden bapak maju,Positif
,Positif
tibaquot ber ada nampak mata nama fakta nyata bukan kerja,Positif
rakus,Negatif
notonogoro wibawa semuga pembangunanya makmur jaya ada kaltim dunia baru makin rakyat bangsa indonesia ikn,Positif
paru gundul dunia kalimantan mulai,Negatif
libat langsung kaltim warga semua lancar sehat beri allah moga indonesia maju ikn bangun,Positif
kocak lihat,Netral
anggur kurang mantap,Positif
